CONT. CONTÁBIL;CONTA CÓD.;DATA;NOME CLIENTE/FORNECEDOR;HISTÓRICO; CRÉDITO ;  DÉBITO
KM SAIDA ;2;21/05/22;;;;
KM CHEGADA ;3;24/05/22;;;;
DIESEL;13;24/05/22;CAMINHONEIRO E MARAJO ;1041;;7077,03
ARLA;14;24/05/22;CAMINHONEIRO E MARAJO ;;;255,75
TRIAGEM;15;24/05/22;PATIO;;;60
OFICINA DO CAMINHAO;19;24/05/22;OFICINA DO ITAMAR SHEGO;;;120
LICENÇA RODOVIA;21;24/05/22;RECEBI EM MAOS ;;;
CLASSIFICADOR;22;21/05/22;CLASSIFICADOR ;;;20
COMISSAO;24;24/05/22;COMISSAO ;;;1651,98
SEGURO;25;24/05/22;TAXAS E SEGURO;;;181,57
PEDAGIO;29;24/05/22;CONCESSIONARIA;;;16,5
OFICINA DA CARRETA;20;24/05/22;CARRETAO DINHEIRO ;LANTERNA LED, TENIL, PARA;;784,7
FRETE FUBA;1;25/05/22;F.STA CARMEM X UBERABA;ADM R$ 295,00;14867,9;
KM SAIDA ;2;25/05/22;;;;
KM CHEGADA ;3;29/05/22;486.155 KM;;;
DIESEL;13;29/05/22;CAMINHONEIRO E MARAJO ;1145;;7658,62
ARLA;14;29/05/22;CAMINHONEIRO E MARAJO ;74 LTS;;273,68
TRIAGEM;15;29/05/22;PATIO;;;60
CONCERTO DE PNEUS;18;29/05/22;BORRACHARIA SANTA HELENA;;;80
OFICINA DO CAMINHAO;19;29/05/22;SANTA HELENA ;TORCA DE OLEO E MANGUERA ;;110
OFICINA DA CARRETA;20;29/05/22;AUTO ELETRICA SHE;;;100
LICENÇA RODOVIA;21;29/05/22;DEPOSITO;;;
COMISSAO;24;29/05/22;COMISSAO ;;;1635,46
SEGURO;25;29/05/22;SEGURO E TAXAS;;;181,28
TROCA DE OLEO;28;29/05/22;MAO DE OBRA;;;40
PEDAGIO;29;29/05/22;CONCESSIONARIA;;;82,5
TROCA DE OLEO;28;30/05/22;NASA FILTROS ;OLEO;;2716
OFICINA DA CARRETA;20;30/05/22;CARRETAO DINHEIRO ;;;200
FRETE FUBA;1;01/06/22;GAUCHA DO NORTE X UBERABA;ADM;16224;
KM SAIDA ;2;01/06/22;486.155 KM;DIFERENÇA ;;
KM CHEGADA ;3;03/06/22;489.184 KM ;3.029 KM;;
DIESEL;13;03/06/22;CAMINHONEIRO E MARAJO ;1487;;10105,37
ARLA;14;03/06/22;CAMINHONEIRO E MARAJO ;87 LTS.;;320,66
TRIAGEM;15;03/06/22;PATIO;;;60
PNEUS NOVOS;16;03/06/22;BRIXX;2 PNEUS NOVOS;;4200
PNEUS RESSOLADOS;17;03/06/22;PNEU CENTRAL ;2 RESSOLAGEM;;1170
CONCERTO DE PNEUS;18;03/06/22;BORRACHARIA 01;SERVICO;;190
OFICINA DA CARRETA;20;03/06/22;PONTUAL SOLDAS SHEGO;;;355
LICENÇA RODOVIA;21;03/06/22;DEPOSITO;POSTO  MARAJO;;
COMISSAO;24;03/06/22;COMISSAO;;;1784,64
SEGURO;25;03/06/22;SEGURO E TAXAS D. FRETE;CARTAO NOVO 19,59;;223,32
PEDAGIO;29;03/06/22;CONCESSIONARIA;;;231
